Tract Code,Total Housing Units,1-4 Family Units,Median House Age,Inside City?,Owner Occupied Units,Vacant Units,Owner Occupied 1-4 Fam Units,Renter Occupied,state,county
0326.01,1856,1621,76,Yes,708,69,703,1079,06,075
0326.02,1778,1536,76,Yes,673,118,673,987,06,075
0327.00,2605,2320,76,Yes,1585,202,1585,818,06,075
0328.01,1506,1372,76,Yes,791,114,791,601,06,075
0328.02,1539,1420,72,Yes,949,97,936,493,06,075
0329.01,1852,1825,75,Yes,1240,51,1240,561,06,075
0329.02,1435,1376,70,Yes,989,90,964,356,06,075
0330.00,2841,2595,76,Yes,1549,152,1549,1140,06,075
0331.00,1567,1567,63,Yes,1276,75,1276,216,06,075
0332.01,778,127,59,Yes,0,140,0,638,06,075
0332.03,1605,466,63,Yes,0,80,0,1525,06,075
0332.04,1679,379,66,Yes,0,114,0,1565,06,075
0351.00,2965,2776,69,Yes,1678,67,1678,1220,06,075
0352.01,2006,1779,67,Yes,1224,44,1217,738,06,075
0352.02,1897,1446,63,Yes,599,105,576,1193,06,075
0353.00,2604,2417,67,Yes,1777,15,1777,812,06,075
0354.00,2576,2271,69,Yes,1401,101,1377,1074,06,075
0401.00,2054,1356,76,Yes,404,125,359,1525,06,075
0402.00,2591,1558,76,Yes,711,127,640,1753,06,075
0426.01,1843,1179,76,Yes,375,74,347,1394,06,075
0426.02,1567,989,76,Yes,437,135,437,995,06,075
0427.00,2664,1752,60,Yes,779,280,662,1605,06,075
0428.00,1037,923,76,Yes,691,117,657,229,06,075
0451.00,2308,1524,76,Yes,726,143,629,1439,06,075
0452.00,3013,2282,76,Yes,1011,85,1000,1917,06,075
0476.00,2392,2018,76,Yes,673,195,673,1524,06,075
0477.01,2049,1639,72,Yes,717,197,684,1135,06,075
0477.02,1699,1341,76,Yes,685,122,676,892,06,075
0478.01,1801,1454,76,Yes,708,183,688,910,06,075
0478.02,1656,1275,73,Yes,561,96,550,999,06,075
0479.01,2796,2178,72,Yes,1537,157,1462,1102,06,075
0479.02,1634,1268,76,Yes,721,143,721,770,06,075
0601.00,1335,931,67,Yes,23,66,23,1246,06,075
0604.00,1030,134,38,Yes,155,22,109,853,06,075
0605.02,1087,513,65,Yes,202,126,202,759,06,075
0607.00,5206,122,11,Yes,1524,412,79,3270,06,075
0610.00,1618,996,15,Yes,934,73,656,611,06,075
0611.00,2250,170,76,Yes,84,214,0,1952,06,075
0612.00,1242,971,67,Yes,465,76,392,701,06,075
0614.00,2644,1923,76,Yes,1154,134,986,1356,06,075
0615.00,8825,251,14,Yes,2729,1648,125,4448,06,075
9802.00,84,75,69,Yes,25,14,25,45,06,075
9803.00,65,20,76,Yes,0,0,0,65,06,075
9804.01,0,0,0,Yes,0,0,0,0,06,075
9805.01,286,109,41,Yes,83,12,83,191,06,075
9806.00,164,142,31,Yes,103,0,81,61,06,075
9809.00,162,48,28,Yes,17,14,6,131,06,075
9901.00,0,0,0,Yes,0,0,0,0,06,075
0075.02,2007,1023,48,Yes,321,207,235,1479,11,001
0075.03,1083,585,59,Yes,298,162,249,623,11,001
0075.04,1365,627,52,Yes,208,313,176,844,11,001
0076.01,2362,1732,66,Yes,815,437,815,1110,11,001
0076.03,2428,1148,62,Yes,812,269,578,1347,11,001
0076.04,2006,862,66,Yes,540,284,461,1182,11,001
0076.05,1870,482,55,Yes,324,281,291,1265,11,001
0077.03,2430,1169,51,Yes,498,247,498,1685,11,001
0077.07,1828,1293,59,Yes,650,328,640,850,11,001
0077.08,1328,519,51,Yes,166,170,139,992,11,001
0077.09,1160,871,65,Yes,163,156,151,841,11,001
0078.03,1746,1212,60,Yes,576,247,527,923,11,001
0078.04,1375,721,57,Yes,430,254,419,691,11,001
0078.06,1084,672,57,Yes,292,163,286,629,11,001
0078.07,979,563,52,Yes,367,95,334,517,11,001
0078.08,1639,1171,51,Yes,642,256,642,741,11,001
0078.09,1362,996,68,Yes,701,187,677,474,11,001
0079.01,1807,1387,69,Yes,549,267,549,991,11,001
0079.03,910,888,72,Yes,512,113,507,285,11,001
0080.01,1418,1259,76,Yes,934,55,858,429,11,001
0080.02,1645,1294,76,Yes,1023,46,872,576,11,001
0081.00,1468,1197,76,Yes,749,91,636,628,11,001
0082.00,1525,938,76,Yes,603,123,494,799,11,001
0083.01,1095,927,76,Yes,563,106,526,426,11,001
0083.02,1026,805,76,Yes,542,35,479,449,11,001
0084.02,1169,729,76,Yes,505,69,451,595,11,001
0084.10,642,629,76,Yes,342,91,342,209,11,001
0087.01,1082,866,76,Yes,418,160,411,504,11,001
0087.02,850,568,76,Yes,373,103,316,374,11,001
0088.02,2033,1807,76,Yes,860,253,837,920,11,001
0088.03,662,484,57,Yes,91,149,87,422,11,001
0088.04,1419,1285,64,Yes,350,346,291,723,11,001
0089.03,1699,1028,56,Yes,336,247,289,1116,11,001
0089.04,1914,931,62,Yes,202,380,202,1332,11,001
0090.00,1858,758,40,Yes,735,127,658,996,11,001
0091.02,2109,1347,61,Yes,632,133,614,1344,11,001
0092.01,861,487,59,Yes,281,93,256,487,11,001
0092.03,1304,893,76,Yes,581,284,551,439,11,001
0092.04,1456,334,63,Yes,234,141,152,1081,11,001
0093.01,1231,1131,76,Yes,871,44,871,316,11,001
0093.02,548,396,76,Yes,330,75,317,143,11,001
0094.00,1839,1654,76,Yes,1345,176,1337,318,11,001
0095.01,1961,641,57,Yes,366,129,358,1466,11,001
0095.03,1297,1297,69,Yes,1027,27,1027,243,11,001
0095.04,1432,1254,74,Yes,692,149,634,591,11,001
0095.05,1243,1210,64,Yes,960,129,960,154,11,001
0095.07,615,586,62,Yes,486,32,486,97,11,001
0095.08,1724,966,61,Yes,855,107,846,762,11,001
